"Lego Part","Lego Set"
"Window - Tan - Fabric - Barrier","LEGO Classic"
"Fence - Black - Plastic - Roofing","LEGO Friends"
"Window - Brown - Fabric - Landscape","Ideas"
"Flag - Yellow - Plastic - Vehicle","LEGO Creator Expert"
"Technic - Silver - Fabric - Creature","LEGO Architecture Skyline"
"Tile - Transparent - Plastic - Decorative","Marvel Super Heroes"
"Wheel - Yellow - Fabric - Combat","City"
"Minifigure - Gold - Fabric - Utility","LEGO Technic Bugatti Chiron"
"Panel - Yellow - Plastic - Decoration","LEGO City"
"Door - Bronze - Fabric - Building","LEGO Ninjago"
"Technic - Tan - Fabric - Accessory","LEGO Ninjago"
"Brick - Translucent - Plastic - Roofing","LEGO Super Heroes"
"Weapon - Brown - Plastic - Functional","LEGO DC Super Heroes"
"Weapon - Translucent - Fabric - Transportation","LEGO Speed Racer"
"Roof Tile - Brown - Plastic - Decoration","LEGO Architecture"
"Technic - Silver - Plastic - Barrier","Education"
"Plant - Brown - Fabric - Entry","Minecraft"
"Fence - Tan - Fabric - Creature","LEGO Friends"
"Animal - Brown - Fabric - Transportation","Technic"
"Fence - Yellow - Plastic - Functional","LEGO Ideas 21319 Central Perk"
"Tile - Brown - Fabric - Creature","Speed Champions"
"Door - Translucent - Plastic - Vehicle","DC Super Heroes"
"Plant - Yellow - Plastic - Wall","LEGO Super Mario"
"Slope - Gold - Plastic - Entry","LEGO City"
"Axle - Translucent - Plastic - Character","LEGO Elves"
"Weapon - Brown - Fabric - Landscape","LEGO Education"
"Slope - Black - Fabric - Decorative","Jurassic World"
"Tile - Black - Fabric - Structural","LEGO Creator 3-in-1"
"Weapon - Green - Plastic - Barrier","LEGO Super Heroes"
"Roof Tile - Orange - Plastic - Barrier","Space"
"Vehicle - Tan - Plastic - Roofing","City"
"Plant - Tan - Plastic - Combat","Speed Champions"
"Slope - Gray - Fabric - Vehicle","LEGO Trolls World Tour"
"Window - Green - Plastic - Functional","LEGO Technic"
"Fence - Gray - Plastic - Accessory","Friends"
"Axle - White - Plastic - Decoration","LEGO Star Wars"
"Panel - Orange - Plastic - Basic","LEGO Architecture Skyline"
"Axle - Black - Fabric - Decorative","LEGO Education"
"Technic - Green - Plastic - Decoration","LEGO Elves"
"Window - White - Plastic - Transportation","LEGO Monkie Kid"
"Door - Silver - Plastic - Creature","LEGO Ideas"
"Animal - Black - Fabric - Character","Friends"
"Axle - Gray - Plastic - Transportation","LEGO Creator 3-in-1"
"Beam - Bronze - Fabric - Transportation","LEGO Super Mario"
"Fence - Bronze - Fabric - Transportation","Space"
"Flag - Orange - Fabric - Building","LEGO Creator Expert"
"Window - Transparent - Plastic - Entry","Friends"
"Roof Tile - Tan - Fabric - Wall","LEGO Ninjago"
"Door - Black - Plastic - Utility","LEGO Technic"
"Tool - Transparent - Plastic - Functional","LEGO Trolls World Tour"
"Plant - Gray - Fabric - Combat","LEGO Super Mario"
"Tile - Translucent - Fabric - Wall","LEGO Speed Racer"
"Minifigure - Transparent - Fabric - Basic","LEGO Technic"
"Tile - Translucent - Fabric - Accessory","LEGO Ideas 21318 Tree House"
"Panel - White - Plastic - Decoration","DC Super Heroes"
"Brick - Gold - Plastic - Accessory","LEGO Friends: The Television Series"
"Tool - Translucent - Fabric - Basic","City"
"Door - Silver - Plastic - Wall","LEGO Monkie Kid"
"Tile - Yellow - Fabric - Transportation","LEGO DOTS"
"Flag - Blue - Plastic - Decoration","Education"
"Minifigure - Transparent - Fabric - Structural","LEGO DOTS"
"Plate - Gray - Fabric - Transportation","Marvel Super Heroes"
"Weapon - Brown - Fabric - Creature","LEGO Super Mario"
"Axle - Green - Fabric - Roofing","LEGO Creator Expert Roller Coaster"
"Brick - Silver - Plastic - Building","Jurassic World"
"Tool - Orange - Plastic - Basic","LEGO Creator Expert"
"Vehicle - Brown - Fabric - Mechanical","LEGO Video Games"
"Tool - Red - Plastic - Basic","Space"
"Axle - Brown - Plastic - Barrier","LEGO Overwatch"
"Axle - Gold - Fabric - Transportation","LEGO Architecture Skyline"
"Slope - Brown - Plastic - Vehicle","LEGO DOTS"
"Plate - Silver - Plastic - Building","LEGO Architecture Skyline"
"Brick - Red - Fabric - Creature","LEGO Elves"
"Roof Tile - Black - Fabric - Transportation","LEGO Ideas"
"Panel - Orange - Plastic - Entry","LEGO Hidden Side"
"Roof Tile - Gray - Plastic - Decoration","LEGO Education"
"Plate - Blue - Fabric - Barrier","LEGO Star Wars"
"Plant - Black - Fabric - Accessory","LEGO Architecture Skyline"
"Tool - Brown - Plastic - Barrier","Pirates"
"Beam - Orange - Fabric - Landscape","LEGO Video Games"
"Technic - Red - Fabric - Building","LEGO Elves"
"Plate - Translucent - Fabric - Structural","LEGO Friends: The Television Series"
"Plate - Green - Plastic - Decoration","Ninjago"
"Animal - Orange - Plastic - Basic","LEGO Architecture Skyline"
"Door - Green - Fabric - Landscape","LEGO Video Games"
"Panel - Brown - Plastic - Transportation","LEGO Video Games"
"Tile - Tan - Fabric - Character","LEGO Harry Potter"
"Brick - Bronze - Plastic - Decoration","LEGO Pirates"
"Tool - Tan - Fabric - Transportation","Marvel Super Heroes"
"Wheel - Red - Fabric - Mechanical","LEGO Minions"
"Technic - Bronze - Plastic - Roofing","LEGO Friends"
"Axle - Gray - Fabric - Transportation","Creator"
"Door - Gray - Fabric - Transportation","Disney"
"Tile - Silver - Plastic - Character","LEGO Education"
"Flag - Transparent - Fabric - Accessory","Ideas"
"Roof Tile - Green - Fabric - Landscape","Space"
"Vehicle - Transparent - Plastic - Basic","LEGO Ideas"
"Animal - Red - Fabric - Functional","LEGO DC Super Heroes"
"Vehicle - Bronze - Fabric - Vehicle","Ninjago"
"Tile - Blue - Fabric - Landscape","LEGO Space"
"Flag - White - Fabric - Utility","LEGO Creator 3-in-1"
"Weapon - Translucent - Fabric - Transportation","LEGO Creator Expert"
"Tile - Green - Plastic - Accessory","Friends"
"Flag - Gold - Fabric - Wall","LEGO City"
"Minifigure - Brown - Fabric - Basic","LEGO Friends"
"Roof Tile - Bronze - Plastic - Transportation","LEGO Ninjago"
"Wheel - Tan - Fabric - Landscape","Friends"
"Slope - Orange - Plastic - Mechanical","LEGO Technic"
"Brick - Tan - Fabric - Functional","LEGO Ideas"
"Minifigure - Brown - Fabric - Transportation","Harry Potter"
"Tool - Orange - Plastic - Structural","LEGO Disney Princess"
"Brick - Silver - Fabric - Vehicle","LEGO Space"
"Minifigure - Transparent - Plastic - Transportation","LEGO Ideas 21319 Central Perk"
"Minifigure - Tan - Fabric - Entry","Space"
"Animal - Orange - Fabric - Structural","LEGO Speed Champions"
"Tile - White - Plastic - Decoration","LEGO Classic"
"Tile - Translucent - Fabric - Structural","LEGO Mindstorms"
"Tool - Silver - Fabric - Building","LEGO Disney"
"Weapon - Orange - Plastic - Decoration","Speed Champions"
"Flag - Tan - Fabric - Transportation","LEGO Star Wars"
"Plate - Translucent - Plastic - Building","Friends"
"Roof Tile - White - Plastic - Basic","LEGO Ideas"
"Panel - Orange - Plastic - Mechanical","Minecraft"
"Beam - Tan - Fabric - Creature","LEGO Minecraft"
"Flag - Silver - Plastic - Creature","LEGO City"
"Window - Gold - Fabric - Landscape","LEGO Ideas"
"Plate - Blue - Plastic - Combat","Classic"
"Window - Orange - Fabric - Decorative","LEGO DC Super Heroes"
"Animal - Green - Plastic - Structural","LEGO Minions"
"Door - Silver - Plastic - Transportation","LEGO Video Games"
"Wheel - Translucent - Plastic - Entry","LEGO Monkie Kid"
"Tile - Bronze - Plastic - Mechanical","LEGO Creator 3-in-1"
"Weapon - Red - Plastic - Basic","LEGO DC Super Heroes"
"Roof Tile - Gray - Plastic - Accessory","LEGO Pirates"
"Panel - Transparent - Plastic - Combat","DC Super Heroes"
"Minifigure - Gold - Plastic - Roofing","Education"
"Plant - Green - Fabric - Wall","Ninjago"
"Technic - Orange - Fabric - Landscape","LEGO Pirates"
"Technic - Brown - Fabric - Creature","LEGO Star Wars"
"Animal - Green - Fabric - Landscape","LEGO Architecture Skyline"
"Vehicle - Silver - Plastic - Functional","Education"
"Door - Blue - Fabric - Utility","Space"
"Slope - Bronze - Plastic - Accessory","LEGO Classic"
"Plant - Tan - Fabric - Entry","LEGO Ninjago"
"Tile - Silver - Fabric - Character","LEGO Technic"
"Door - Orange - Fabric - Wall","LEGO Space"
"Brick - Black - Plastic - Functional","Star Wars"
"Window - Gold - Plastic - Vehicle","Creator"
"Beam - Tan - Fabric - Entry","LEGO Ideas 21318 Tree House"
"Plate - Tan - Plastic - Vehicle","Dots"
"Vehicle - Blue - Fabric - Utility","LEGO Overwatch"
"Animal - Silver - Fabric - Combat","Technic"
"Minifigure - Green - Plastic - Landscape","LEGO Star Wars Millennium Falcon"
"Axle - Red - Plastic - Entry","LEGO Marvel Super Heroes"
"Plant - Silver - Fabric - Transportation","LEGO Super Mario"
"Window - Yellow - Fabric - Functional","LEGO DOTS"
"Panel - Transparent - Fabric - Transportation","LEGO Technic"
"Tile - Black - Plastic - Functional","LEGO Technic"
"Tool - Brown - Plastic - Character","LEGO Harry Potter"
"Brick - Silver - Fabric - Character","LEGO DC Super Heroes"
"Fence - Brown - Fabric - Creature","LEGO Mindstorms"
"Tool - Yellow - Fabric - Mechanical","LEGO Monkie Kid"
"Flag - Transparent - Plastic - Mechanical","Speed Champions"
"Fence - Bronze - Fabric - Creature","LEGO Ideas"
"Technic - Gray - Plastic - Functional","LEGO Ideas 21319 Central Perk"
"Minifigure - Black - Plastic - Decoration","Disney"
"Animal - Translucent - Plastic - Entry","Star Wars"
"Flag - Blue - Fabric - Wall","LEGO Trolls World Tour"
"Slope - Red - Fabric - Functional","LEGO Technic Bugatti Chiron"
"Tool - Bronze - Plastic - Vehicle","LEGO Speed Champions"
"Tile - Transparent - Plastic - Utility","LEGO Mindstorms"
"Door - Brown - Fabric - Entry","Ideas"
"Panel - Gold - Plastic - Landscape","LEGO Ideas"
"Slope - Red - Plastic - Decoration","LEGO DC Super Heroes"
"Door - Gray - Plastic - Basic","Creator"
"Minifigure - Orange - Plastic - Accessory","LEGO Architecture Skyline"
"Weapon - Gray - Fabric - Barrier","LEGO Ideas 21318 Tree House"
"Vehicle - Bronze - Fabric - Vehicle","LEGO Mindstorms"
"Vehicle - White - Fabric - Mechanical","LEGO Ninjago"
"Axle - Brown - Fabric - Functional","LEGO Disney Princess"
"Beam - Orange - Plastic - Roofing","LEGO Ideas"
"Brick - Translucent - Fabric - Functional","LEGO City"
"Minifigure - Tan - Plastic - Vehicle","Bionicle"
"Roof Tile - Orange - Fabric - Combat","LEGO Space"
"Plate - Tan - Plastic - Decoration","Star Wars"
"Axle - Blue - Fabric - Accessory","DC Super Heroes"
"Fence - Bronze - Plastic - Utility","LEGO Technic Bugatti Chiron"
"Slope - Black - Fabric - Decoration","Jurassic World"
"Animal - Orange - Plastic - Character","LEGO City"
"Fence - Transparent - Fabric - Decorative","LEGO Minions"
"Tile - Transparent - Fabric - Utility","LEGO Mindstorms"
"Wheel - Tan - Plastic - Creature","LEGO Trolls World Tour"
"Vehicle - Brown - Plastic - Accessory","LEGO Video Games"
"Door - Green - Fabric - Structural","Pirates"
"Beam - Brown - Fabric - Basic","Education"
"Fence - Tan - Fabric - Combat","LEGO Creator 3-in-1"
"Plate - Gray - Plastic - Combat","LEGO Pirates"
"Technic - Tan - Fabric - Landscape","LEGO Overwatch"
"Wheel - Bronze - Plastic - Decorative","LEGO Friends: The Television Series"
"Plant - Yellow - Fabric - Functional","LEGO Ideas"
"Tile - Green - Fabric - Vehicle","LEGO Ideas 21319 Central Perk"
"Brick - Black - Fabric - Utility","LEGO Architecture Skyline"
"Tool - Transparent - Plastic - Decoration","LEGO Minecraft"
"Window - Silver - Fabric - Transportation","LEGO Friends: The Television Series"
"Minifigure - Gold - Fabric - Decorative","LEGO Speed Racer"
"Wheel - Brown - Plastic - Mechanical","LEGO Architecture"
"Minifigure - Gold - Fabric - Creature","LEGO Ideas 21318 Tree House"
"Beam - Silver - Plastic - Basic","Architecture"
"Plant - Red - Fabric - Character","LEGO Marvel Super Heroes"
"Vehicle - Yellow - Fabric - Basic","LEGO Overwatch"
"Wheel - Black - Plastic - Combat","Marvel Super Heroes"
"Plant - Blue - Plastic - Combat","LEGO Technic"
"Plant - Green - Fabric - Creature","Pirates"
"Animal - Blue - Fabric - Accessory","Disney"
"Animal - Bronze - Fabric - Building","LEGO Star Wars"
"Tile - Yellow - Fabric - Combat","LEGO Friends: The Television Series"
"Weapon - Green - Fabric - Decorative","Star Wars"
"Flag - Gold - Plastic - Functional","Education"
"Fence - White - Plastic - Decorative","Minecraft"
"Plate - Brown - Fabric - Vehicle","LEGO Technic Bugatti Chiron"
"Slope - Tan - Plastic - Structural","LEGO Architecture"
"Plate - Bronze - Fabric - Mechanical","LEGO Technic Bugatti Chiron"
"Roof Tile - Green - Fabric - Decoration","Classic"
"Beam - Translucent - Plastic - Entry","LEGO Space"
"Plant - Yellow - Fabric - Building","LEGO Marvel Super Heroes"
"Plate - Bronze - Plastic - Combat","Architecture"
"Slope - Green - Plastic - Creature","LEGO Hidden Side"
"Minifigure - Brown - Fabric - Vehicle","Ideas"
"Plant - Gray - Plastic - Structural","Marvel Super Heroes"
"Wheel - Bronze - Plastic - Landscape","Architecture"
"Tile - Brown - Plastic - Accessory","LEGO Architecture Skyline"
"Fence - Gold - Plastic - Vehicle","Dots"
"Minifigure - Tan - Plastic - Transportation","LEGO Speed Racer"
"Flag - White - Fabric - Roofing","LEGO Harry Potter"
"Axle - Silver - Fabric - Accessory","LEGO Video Games"
"Roof Tile - Tan - Plastic - Combat","LEGO Ideas 21319 Central Perk"
"Beam - Brown - Plastic - Decoration","LEGO Ninjago"
"Wheel - Bronze - Fabric - Mechanical","Architecture"
"Minifigure - Gold - Plastic - Basic","LEGO DOTS"
"Plate - Yellow - Fabric - Transportation","Harry Potter"
"Technic - Transparent - Fabric - Barrier","LEGO Architecture Skyline"
"Technic - Brown - Plastic - Transportation","DC Super Heroes"
"Beam - Gold - Plastic - Wall","LEGO Pirates"
"Brick - Bronze - Plastic - Decorative","Ninjago"
"Panel - Translucent - Fabric - Functional","LEGO Architecture Skyline"
"Flag - Gray - Plastic - Creature","Marvel Super Heroes"
"Vehicle - White - Fabric - Barrier","LEGO Architecture Skyline"
"Technic - Bronze - Plastic - Utility","LEGO Ideas"
"Weapon - Black - Fabric - Basic","LEGO Speed Champions"
"Animal - Green - Plastic - Transportation","LEGO Ideas"
"Axle - Blue - Plastic - Wall","LEGO City"
"Plate - Transparent - Fabric - Character","LEGO Super Mario"
"Tool - Brown - Fabric - Functional","LEGO Minions"
"Slope - Orange - Plastic - Roofing","LEGO Architecture"
"Technic - Green - Plastic - Basic","LEGO Mindstorms"
"Tile - Orange - Fabric - Building","LEGO Star Wars"
"Animal - Green - Plastic - Barrier","LEGO Minecraft"
"Wheel - Black - Fabric - Building","LEGO Hidden Side"
"Animal - Silver - Plastic - Combat","LEGO Monkie Kid"
"Technic - White - Plastic - Entry","LEGO Creator Expert"
"Panel - Gold - Plastic - Accessory","Technic"
"Axle - Blue - Plastic - Vehicle","LEGO Mindstorms"
"Fence - Orange - Fabric - Accessory","LEGO Disney"
"Slope - Translucent - Plastic - Mechanical","LEGO Technic Bugatti Chiron"
"Vehicle - Blue - Fabric - Landscape","Disney"
"Door - Bronze - Plastic - Basic","Star Wars"
"Window - Silver - Plastic - Combat","LEGO Space"
"Vehicle - Translucent - Plastic - Functional","LEGO Education"
"Axle - Transparent - Fabric - Transportation","LEGO Video Games"
"Roof Tile - Orange - Plastic - Landscape","LEGO Elves"
"Brick - Brown - Plastic - Mechanical","Speed Champions"
"Weapon - Red - Plastic - Vehicle","LEGO Creator 3-in-1"
"Wheel - Translucent - Plastic - Vehicle","LEGO Star Wars"
"Roof Tile - Transparent - Plastic - Character","LEGO Pirates"
"Weapon - Silver - Plastic - Mechanical","LEGO Elves"
"Axle - Translucent - Fabric - Utility","LEGO Harry Potter"
"Window - Black - Plastic - Mechanical","LEGO Pirates"
"Brick - Green - Fabric - Entry","LEGO Architecture"
"Fence - Bronze - Fabric - Mechanical","Star Wars"
"Flag - Gold - Plastic - Transportation","Bionicle"
"Animal - Translucent - Fabric - Entry","LEGO Mindstorms"
"Tile - Red - Fabric - Building","Harry Potter"
"Plate - Translucent - Plastic - Utility","LEGO Technic"
"Weapon - Brown - Plastic - Barrier","LEGO Super Mario"
"Fence - Brown - Fabric - Combat","DC Super Heroes"
"Window - Blue - Fabric - Landscape","Bionicle"
"Window - Transparent - Fabric - Decoration","LEGO Classic"
"Fence - Brown - Plastic - Vehicle","LEGO Mindstorms"
"Roof Tile - Brown - Fabric - Combat","City"
"Minifigure - Silver - Plastic - Wall","LEGO Overwatch"
"Plate - Gold - Fabric - Landscape","Star Wars"
"Weapon - White - Fabric - Decorative","Marvel Super Heroes"
"Window - Green - Plastic - Transportation","Education"
"Technic - Red - Plastic - Combat","Space"
"Door - Orange - Plastic - Barrier","Education"
"Weapon - Yellow - Plastic - Creature","Minecraft"
"Brick - Red - Fabric - Combat","Dots"
"Fence - Translucent - Plastic - Transportation","Harry Potter"
"Slope - Red - Fabric - Roofing","Education"
"Weapon - Gray - Plastic - Functional","LEGO Star Wars Millennium Falcon"
"Fence - Silver - Fabric - Character","LEGO Trolls World Tour"
"Flag - Transparent - Plastic - Utility","LEGO Star Wars"
"Beam - Brown - Plastic - Mechanical","LEGO Star Wars"
"Weapon - Red - Fabric - Entry","LEGO Architecture Skyline"
"Axle - Bronze - Fabric - Landscape","Jurassic World"
"Axle - Brown - Fabric - Creature","LEGO Architecture Skyline"
"Wheel - Orange - Fabric - Character","LEGO Technic Bugatti Chiron"
"Tool - Yellow - Fabric - Vehicle","LEGO Ideas"
"Wheel - Blue - Fabric - Accessory","Marvel Super Heroes"
"Minifigure - Bronze - Plastic - Roofing","Classic"
"Beam - Green - Fabric - Functional","Space"
"Axle - Orange - Plastic - Mechanical","LEGO Disney Princess"
"Panel - Gray - Fabric - Mechanical","Ideas"
"Axle - Blue - Plastic - Combat","Ideas"
"Weapon - Bronze - Fabric - Functional","Jurassic World"
"Roof Tile - White - Plastic - Structural","DC Super Heroes"
"Roof Tile - Blue - Fabric - Accessory","Marvel Super Heroes"
"Plant - Silver - Fabric - Landscape","LEGO DC Super Heroes"
"Animal - Silver - Plastic - Decorative","LEGO Super Mario"
"Roof Tile - Brown - Fabric - Decoration","LEGO Speed Racer"
"Tile - Bronze - Fabric - Decorative","Ninjago"
"Axle - White - Fabric - Roofing","LEGO Architecture Skyline"
"Roof Tile - Orange - Plastic - Creature","Bionicle"
"Beam - Yellow - Plastic - Decorative","LEGO Mindstorms"
"Wheel - Orange - Plastic - Accessory","LEGO Minecraft"
"Weapon - Blue - Fabric - Building","Creator"
"Brick - Gray - Plastic - Structural","LEGO Minions"
"Panel - Translucent - Plastic - Combat","Star Wars"
"Tile - Gold - Plastic - Roofing","LEGO Monkie Kid"
"Slope - Black - Plastic - Utility","LEGO Monkie Kid"
"Axle - Yellow - Plastic - Character","Harry Potter"
"Panel - Black - Fabric - Vehicle","LEGO Elves"
"Beam - Green - Fabric - Accessory","Ninjago"
"Plant - Tan - Plastic - Landscape","LEGO Ideas"
"Fence - Orange - Fabric - Building","Space"
"Roof Tile - Transparent - Fabric - Utility","LEGO Technic Bugatti Chiron"
"Flag - Black - Plastic - Barrier","City"
"Window - Blue - Plastic - Wall","LEGO Disney"
"Brick - Transparent - Plastic - Decoration","LEGO Ideas 21318 Tree House"
"Window - Green - Plastic - Character","LEGO Technic Bugatti Chiron"
"Plate - Red - Plastic - Decoration","LEGO Education"
"Brick - Translucent - Plastic - Functional","LEGO Minions"
"Roof Tile - Tan - Plastic - Accessory","Space"
"Roof Tile - Green - Plastic - Building","Ideas"
"Brick - Brown - Fabric - Mechanical","LEGO Marvel Super Heroes"
"Minifigure - White - Fabric - Structural","LEGO DOTS"
"Technic - Green - Plastic - Creature","Bionicle"
"Door - Brown - Plastic - Building","LEGO Ideas"
"Axle - Green - Fabric - Wall","LEGO Classic"
"Axle - Silver - Fabric - Transportation","Minecraft"
"Axle - Bronze - Fabric - Character","LEGO Ideas"
"Axle - Red - Plastic - Barrier","City"
"Minifigure - Orange - Fabric - Mechanical","LEGO Star Wars"
"Animal - Translucent - Plastic - Decoration","LEGO Friends: The Television Series"
"Weapon - Transparent - Fabric - Landscape","LEGO Creator Expert Roller Coaster"
"Tool - Brown - Fabric - Decoration","LEGO Jurassic World"
"Weapon - Brown - Plastic - Functional","LEGO Jurassic World"
"Minifigure - Orange - Fabric - Creature","LEGO Disney"
"Weapon - White - Fabric - Functional","LEGO Marvel Super Heroes"
"Animal - Orange - Plastic - Wall","LEGO Super Heroes"
"Animal - Brown - Fabric - Utility","Ideas"
"Door - Translucent - Plastic - Basic","Disney"
"Fence - Red - Fabric - Building","Harry Potter"
"Panel - Transparent - Plastic - Functional","LEGO Monkie Kid"
"Door - Gray - Plastic - Building","LEGO Ideas"
"Window - Orange - Fabric - Functional","Marvel Super Heroes"
"Plate - Red - Plastic - Combat","Space"
"Door - Bronze - Fabric - Structural","Technic"
"Beam - Bronze - Plastic - Barrier","DC Super Heroes"
"Brick - Transparent - Fabric - Basic","Friends"
"Flag - Tan - Fabric - Structural","Bionicle"
"Animal - Yellow - Plastic - Barrier","LEGO Ideas 21318 Tree House"
"Vehicle - Green - Plastic - Utility","Dots"
"Wheel - Brown - Plastic - Barrier","LEGO Mindstorms"
"Plate - Transparent - Plastic - Entry","LEGO Hidden Side"
"Wheel - Blue - Plastic - Functional","LEGO Classic"
"Brick - Gray - Plastic - Decoration","LEGO Star Wars"
"Vehicle - Transparent - Plastic - Functional","LEGO Disney Princess"
"Fence - White - Fabric - Combat","LEGO Star Wars"
"Beam - Transparent - Fabric - Functional","Bionicle"
"Slope - Green - Plastic - Structural","Ideas"
"Door - Transparent - Plastic - Mechanical","LEGO Overwatch"
"Panel - Tan - Plastic - Combat","Space"
"Beam - Gray - Fabric - Roofing","Marvel Super Heroes"
"Weapon - Translucent - Plastic - Combat","Friends"
"Weapon - White - Fabric - Vehicle","LEGO Education"
"Door - Green - Fabric - Combat","LEGO Elves"
"Window - Black - Fabric - Mechanical","DC Super Heroes"
"Plant - Gray - Plastic - Landscape","LEGO Harry Potter"
"Vehicle - Translucent - Fabric - Combat","LEGO DC Super Heroes"
"Fence - Translucent - Plastic - Combat","Architecture"
"Panel - Gold - Plastic - Wall","LEGO Jurassic World"
"Tile - Gold - Fabric - Barrier","LEGO Speed Racer"
"Plant - White - Fabric - Combat","LEGO Architecture Skyline"
"Door - Bronze - Fabric - Transportation","DC Super Heroes"
"Plant - Green - Plastic - Roofing","LEGO Technic Bugatti Chiron"
"Minifigure - Green - Plastic - Basic","LEGO Monkie Kid"
"Fence - Brown - Plastic - Mechanical","LEGO Space"
"Animal - Green - Fabric - Entry","Dots"
"Vehicle - Gray - Plastic - Transportation","Speed Champions"
"Door - Blue - Plastic - Vehicle","LEGO Pirates"
"Beam - Gray - Fabric - Mechanical","Education"
"Axle - Silver - Plastic - Wall","LEGO Technic Bugatti Chiron"
"Window - Tan - Plastic - Utility","Architecture"
"Brick - Yellow - Fabric - Roofing","LEGO DC Super Heroes"
"Vehicle - Transparent - Plastic - Decoration","LEGO Speed Champions"
"Roof Tile - Brown - Plastic - Mechanical","LEGO Harry Potter"
"Wheel - Gray - Fabric - Wall","LEGO Marvel Super Heroes"
"Beam - Yellow - Fabric - Accessory","Pirates"
"Panel - Black - Plastic - Building","Creator"
"Flag - Green - Plastic - Landscape","Creator"
"Window - Silver - Plastic - Structural","LEGO Harry Potter"
"Vehicle - Bronze - Plastic - Functional","LEGO Marvel Super Heroes"
"Weapon - Bronze - Fabric - Transportation","LEGO Marvel Super Heroes"
"Animal - Transparent - Plastic - Combat","LEGO Education"
"Roof Tile - Red - Fabric - Wall","City"
"Technic - Yellow - Fabric - Accessory","Dots"
"Tool - Green - Plastic - Roofing","LEGO Classic"
"Brick - Orange - Fabric - Utility","LEGO Creator Expert"
"Panel - White - Plastic - Mechanical","LEGO Architecture Skyline"
"Vehicle - Blue - Plastic - Basic","LEGO Elves"
"Window - Red - Plastic - Accessory","LEGO City"
"Tile - White - Plastic - Creature","LEGO Space"
"Animal - Gray - Plastic - Utility","City"
"Flag - Transparent - Fabric - Entry","LEGO Star Wars"
"Vehicle - White - Plastic - Utility","Classic"
"Plant - Red - Plastic - Wall","LEGO Technic"
"Slope - Brown - Fabric - Landscape","LEGO Space"
"Door - Silver - Fabric - Basic","Classic"
"Plant - Transparent - Fabric - Decorative","LEGO Elves"
"Vehicle - Blue - Plastic - Basic","Disney"
"Vehicle - Orange - Plastic - Creature","City"
"Brick - Yellow - Fabric - Decorative","LEGO Minions"
"Door - Yellow - Fabric - Barrier","LEGO Ideas 21318 Tree House"
"Beam - Translucent - Fabric - Building","Technic"
"Door - Transparent - Plastic - Combat","Architecture"
"Beam - Black - Fabric - Barrier","LEGO City"
"Tool - Black - Fabric - Landscape","LEGO Hidden Side"
"Door - Bronze - Fabric - Decorative","Technic"
"Animal - Translucent - Plastic - Character","Speed Champions"
"Animal - White - Fabric - Mechanical","Ninjago"
"Vehicle - Bronze - Plastic - Combat","LEGO Star Wars"
"Tool - Gold - Fabric - Landscape","Classic"
"Flag - Gold - Fabric - Vehicle","LEGO Star Wars"
"Beam - Green - Plastic - Basic","Creator"
"Wheel - Gold - Fabric - Decorative","LEGO Pirates"
"Brick - Brown - Fabric - Landscape","LEGO City"
"Axle - Brown - Fabric - Transportation","LEGO Technic"
"Roof Tile - Red - Plastic - Structural","Space"
"Brick - Tan - Plastic - Building","LEGO Super Mario"
"Plate - Orange - Fabric - Vehicle","Star Wars"
"Minifigure - Gold - Fabric - Landscape","City"
"Plant - Red - Plastic - Building","LEGO Creator Expert Roller Coaster"
"Vehicle - Red - Plastic - Wall","LEGO Friends"
"Minifigure - Silver - Fabric - Building","LEGO Technic"
"Plant - Blue - Plastic - Utility","Star Wars"
"Window - Translucent - Fabric - Wall","Marvel Super Heroes"
"Weapon - Transparent - Plastic - Accessory","LEGO Star Wars Millennium Falcon"
"Plate - Translucent - Fabric - Wall","LEGO Ideas"
"Roof Tile - Black - Fabric - Decorative","LEGO Mindstorms"
"Fence - Translucent - Fabric - Creature","City"
"Door - Blue - Fabric - Character","LEGO Education"
"Fence - Black - Plastic - Creature","Speed Champions"
"Brick - Gray - Plastic - Accessory","LEGO DOTS"
"Minifigure - Gray - Fabric - Accessory","LEGO Hidden Side"
"Tool - Silver - Plastic - Functional","Bionicle"
"Roof Tile - Black - Fabric - Basic","LEGO Super Heroes"
"Window - Translucent - Plastic - Character","LEGO Ideas"
"Tile - Silver - Fabric - Entry","Harry Potter"
"Beam - Black - Plastic - Barrier","LEGO Overwatch"
"Plant - Silver - Fabric - Vehicle","Ninjago"
"Technic - Gold - Fabric - Mechanical","LEGO Monkie Kid"
"Tile - White - Plastic - Structural","LEGO Super Heroes"
"Animal - Silver - Plastic - Decoration","LEGO Education"
"Door - Tan - Fabric - Structural","Friends"
"Tile - Green - Plastic - Accessory","Pirates"
"Slope - Bronze - Plastic - Structural","LEGO Disney"
"Vehicle - Transparent - Fabric - Combat","LEGO Architecture"
"Door - Silver - Plastic - Functional","Speed Champions"
"Slope - Yellow - Plastic - Functional","Education"
"Plant - Green - Fabric - Accessory","LEGO Minions"
"Roof Tile - Brown - Fabric - Entry","LEGO Trolls World Tour"
"Minifigure - Silver - Fabric - Vehicle","Bionicle"
"Brick - White - Plastic - Roofing","Harry Potter"
"Tile - Gray - Plastic - Barrier","LEGO Creator 3-in-1"
"Fence - Yellow - Fabric - Roofing","LEGO Creator 3-in-1"
